Rgs20
Eya1
Mcm3
Ogfrl1
Smap1
Col19a1
2010300C02Rik
Creg2
Pantr1
Fhl2
Tex30
Col5a2
1700019D03Rik
Stk17b
Rftn2
Satb2
Ino80d
Klf7
Kansl1l
Acadl
Erbb4
Bard1
Fn1
Igfbp5
Tns1
Resp18
Epha4
Scg2
Serpine2
Sphkap
Pid1
Dner
Ngef
Hjurp
Hes6
Pam
Rnf152
Bcl2
Gli2
Epb41l5
Dbi
Lypd1
Tmem163
Mcm6
Btg2
Lgr6
Shisa4
5730559C18Rik
Nek7
Lhx9
Rgs2
Hmcn1
1700025G04Rik
Lamc1
Tor1aip1
Soat1
Pappa2
Prdx6
Prrx1
Atp1b1
Pou2f1
Nuf2
Pea15a
Atp1a2
Lbr
Marc2
Tgfb2
Cenpf
Prox1
Atf3
Ppp2r5a
Dtl
Hsd11b1
3110035E14Rik
Prex2
Sulf1
Kcnb2
Rdh10
Paqr8
B3gat2
Col9a1
Khdrbs2
Gm16152
Gm29260
1500015O10Rik
Ercc5
Gulp1
Tmeff2
Spats2l
Sgol2a
Gm973
Cyp20a1
Pard3b
Nrp2
Xrcc5
Igfbp2
Plcd4
Rhbdd1
Fbxo36
Itm2c
2810459M11Rik
Efhd1
Sh3bp4
Ramp1
Sned1
Farp2
Cdh20
Phlpp1
Cntnap5a
Sctr
Celrr
Mgat5
Slc41a1
Chil1
Syt2
Csrp1
Aspm
Brinp3
Colgalt2
Rnasel
Glul
Tor1aip2
Tnr
4930523C07Rik
Myoc
Nme7
Ildr2
Lmx1a
Rgs5
Ccdc190
Igsf8
Kcnj10
Tagln2
Exo1
Zbtb18
Kif26b
Lin9
Cnih3
Dusp10
Slc30a10
Prox1os
Plxna2
Rmnd1
Fbxo5
Cnksr3
Ginm1
Tab2
Sash1
Samd5
Utrn
Adgrg6
Heca
Abracl
Pex7
Pde7b
Myb
Akap7
L3mbtl3
Lama2
Rspo3
Cenpw
Marcks
Foxo3
Nr2e1
Sobp
Cep85l
Sept10
Sgpl1
Eif4ebp2
H2afy2
Tspan15
Ddx21
Lrrtm3
Reep3
Arid5b
Cdk1
Phyhipl
Bicc1
Agpat3
Gamt
Tcf3
Hmg20b
Nfic
Aldh1l2
Appl2
Nuak1
Hsp90b1
Ascl1
Chpt1
Gas2l3
Tmpo
Rmst
Nedd1
Elk3
Vezt
Cradd
Nudt4
Nts
Tmtc2
Syt1
Mdm2
Lrp1
Rbms2
Cdk2
Ormdl2
Rdh5
Ppp1r14c
Plekhg1
Plagl1
Slc2a12
Epb41l2
Arhgap18
Ptprk
Echdc1
Hs3st5
Traf3ip2
Cdk19
Sesn1
Slc35f1
Gja1
Hsf2
Fabp7
Smpdl3a
Lims1
Sh3rf3
Micu1
Jmjd1c
Ank3
Fam13c
Pcdh15
Bcr
Chchd10
S100b
Pttg1ip
Gadd45b
Eef2
Tdg
Tcp11l2
Rfx4
Timp3
1810014B01Rik
Anks1b
Ntn4
Fgd6
Tmcc3
Dcn
Atp2b1
Poc1b
Kitl
Lin7a
Pawr
Csrp2
Phlda1
A930009A15Rik
Fam19a2
Ctdsp2
Ddit3
Tac2
Prim1
Timeless
Cd63
Itga7
Sec14l2
Ccdc157
Emid1
Znrf3
Camk2b
H2afv
Tns3
Grb10
Meis1
Slc1a4
Ugp2
Otx1
Ehbp1
Vrk2
Kcnip1
Tenm2
Hmmr
Pttg1
Pdlim4
Anxa6
Sparc
Fam114a2
Zfp867
Zkscan17
Epn2
Ntn1
Pfas
Kdm6b
Efnb3
Atp1b2
Polr2a
2810408A11Rik
Slc13a5
Ctns
Serpinf1
Nxn
Nsrp1
Trp53i13
Utp6
Dusp14
Ypel2
Msi2
Hlf
Stxbp4
Tom1l1
Pdk2
Fbxl20
Neurod2
Top2a
Stat5b
Stat3
Psmc3ip
Etv4
Dusp3
Gjc1
Gfap
Nsf
Ern1
Kpna2
Pitpnc1
Cacng4
Cacng5
Wipi1
Fam20a
Abca8a
Cdc42ep4
Btbd17
Hn1
Mif4gd
H3f3b
Acox1
Tk1
Rbfox3
P4hb
Patz1
Pik3ip1
Pla2g3
Selm
Gal3st1
Rnf215
Adcy1
Vwc2
Egfr
Sertad2
Bcl11a
Smek2
Ebf1
Col23a1
Acsl6
Gm2a
Gria1
Galnt10
Trim17
2310033P09Rik
Llgl1
Mfap4
Specc1
Ubb
Gas7
Rpl26
Aurkb
Tmem107
Sat2
Gps2
Pld2
Kif1c
Wscd1
Smg6
Tlcd2
Nufip2
Tlcd1
Rab34
Proca1
Spag5
Aldoc
Pigs
Atad5
Rhbdl3
Synrg
Brip1os
Rnft1
Sept4
Rnf43
Gm15892
Vezf1
Tmem100
Tob1
Cdk12
Stard3
Igfbp4
Fkbp10
Rnd2
Rdm1
Higd1b
Mapt
Gm11713
Cep112
Axin2
Gna13
Sox9
Sstr2
Cog1
Ttyh2
Slc9a3r1
Sept9
Birc5
Rnf213
Ccdc137
Rac3
Ubxn2a
Trib2
Lpin1
Adam17
Id2
Rnf144a
Gpr22
Hbp1
Lsmem1
Dnajb9
Stxbp6
Nova1
Egln3
Baz1a
Ppp2r3c
Nfkbia
Mis18bp1
Trim9
L3hypdh
Rtn1
Zfp36l1
Dpf3
Numb
Aldh6a1
Dio2
Galc
Foxn3
Ccdc88c
Btbd7
Bcl11b
Ckb
Itgb8
Asxl2
Ntsr2
Hpcal1
Asap2
Rrm2
Myt1l
Etv1
Foxg1
G2e3
Arhgap5
Npas3
Mipol1
Ctage5
Frmd6
2700049A03Rik
Prkch
1700086L19Rik
Rhoj
Mthfd1
Zbtb1
Mpp5
Galnt16
Smoc1
Acot1
Ptgr2
Fos
Vash1
Nrxn3
Calm1
Meg3
Zfyve21
Inf2
Siva1
Crip1
Ncapg2
Akr1e1
Hecw1
Epdr1
Zscan26
Lrrc16a
Gmnn
Cdkal1
Tubb2a
Tubb2b
Eci2
Lyrm4
Nrn1
Nedd9
Kif13a
Dek
Fam120a
Card19
Sema4d
Ror2
Sncb
H2afy
Cxcl14
Gkap1
2210016F16Rik
Ptch1
Zfp367
Cdc14b
Ctsl
Adcy2
Rhobtb3
Arsk
Slf1
Nr2f1
Adgrv1
Gm17750
Vcan
Xrcc4
Papd4
Sv2c
Fcho2
Map1b
Rad17
Cenph
Ccnb1
Pik3r1
Erbb2ip
Rnf180
Map3k1
Snx18
Fst
Nnt
Nim1k
Zfp131
Klf6
Gli3
Inhba
Elmo1
Zfp184
Hist1h2bc
Gm26735
Bphl
Fars2
Rreb1
Dsp
Hivep1
Rnf182
Jarid2
Mylip
Rbm24
S1pr3
Cks2
Secisbp2
Gadd45g
Cplx2
Smad5
2010111I01Rik
Lysmd3
Mef2c
Hapln1
Ssbp2
Dhfr
Lhfpl2
Enc1
Cenpk
Adamts6
Il6st
Cdc20b
Emb
Paip1
4833420G17Rik
Hmgcs1
Fezf2
Rarb
Nr1d2
Dnajc9
Usp54
Zcchc24
Itih3
Fam35a
Bmpr1a
Fermt2
Ddhd1
Osgep
Ndrg2
Sall2
Haus4
Efs
Dhrs1
Tnfrsf19
Fzd3
Esco2
Dpysl2
Cdca2
Bmp1
Itm2b
Rgcc
Naa16
Lect1
Diaph3
Pcdh9
Dach1
Tbc1d4
Ednrb
Spry2
Dct
Gm5089
Synpr
Atxn7
Vcl
Adk
Kat6b
Zmiz1
Il17rd
Wnt5a
Glud1
Cdkn3
Cgrrf1
Samd4
Socs4
Peli2
Otx2os1
Pnp
Arhgef40
Mmp14
Lrp10
Cmtm5
Thtpa
Dhrs4
Fgf9
Spata13
Ctsb
Fam167a
Pbk
Clu
Stmn4
Nefl
Gfra2
Vwa8
Elf1
Pcdh17
Tdrd3
Bora
Gpc5
Gpc6
Cldn10
Dnajc3
Mbnl2
Clybl
Osmr
Slc1a3
Skp2
Basp1
Ncald
Klf10
Angpt1
Trps1
Rad21
Enpp2
Has2
Atad2
Mtss1
Fam49b
Adcy8
Kcnq3
Plec
Oplah
Rbfox2
Sox10
Tob2
Polr3h
Cenpm
Wnt7b
Celsr1
Mlc1
Cpne8
Kif21a
Abcd2
Dbx2
Slc38a1
Kmt2d
Lmbr1l
Tuba1a
Racgap1
Lima1
Csad
Gm26518
Calcoco1
Ppp1r1a
Dab2
Lifr
Nadk2
Golph3
Myo10
Dap
Sema5a
Sdc2
Cpq
Laptm4b
Spag1
Cthrc1
Zfpm2
Mal2
Nov
Deptor
Adgrb1
Lgals1
Mpped1
Cntn1
Pdzrn4
4930578M01Rik
Tuba1c
Tmbim6
Asic1
Gpd1
Atf1
Dazap2
Nr4a1
Nmral1
Carhsp1
Emp2
Litaf
Cpped1
Marf1
Mcm4
2510009E07Rik
Etv5
Rfc4
Atp13a4
Tmem44
Lsg1
Acap2
Slc15a2
Arhgap31
Gap43
Boc
Phldb2
Bbx
Alcam
Nfkbiz
St3gal6
Epha3
Cadm2
Adamts1
Grik1
4932438H23Rik
Hmgn1
Lca5l
Dscam
Rbfox1
Abat
2610020C07Rik
Snx29
Shisa9
Mkl2
Nde1
Ccdc74a
Yeats2
Eif4a2
St6gal1
Lpp
Hes1
Heg1
Itgb5
Hacd2
Sema5b
Fstl1
Igsf11
Lsamp
Ccdc191
Ccdc80
C330027C09Rik
Vgll3
Jam2
Bach1
Olig2
Cbr3
Chaf1b
Pcp4
Ezr
Qk
Pacrg
Flywch1
Sox8
Nme4
Arhgdig
Tcp11
Stk38
Rsph1
Cbs
Notch3
Kifc1
Gm19412
H2-Ke6
Sapcd1
Ddr1
Tubb5
Atat1
Cenpq
Slc29a1
Ptk7
Daam2
Tbc1d5
Satb1
Efhb
Sgol1
Rfx2
Efna5
Rab31
Mtcl1
Ptprm
Myl12a
Prkd3
Cdc42ep3
Cyp1b1
Calm2
Snx9
Pde10a
Lix1
Prss27
Eci1
Ccdc78
0610011F06Rik
Atp6v0e
Crebrf
Ggnbp1
Cdkn1a
Pim1
Abcg1
Adamts10
Cd320
Clic1
Ddah2
H2-D1
Ppp1r10
Zfp57
Gabbr1
Gm26917
Ptchd4
Tnfrsf21
Pla2g7
Cyp39a1
Rcan2
Slc35b2
Ccnd3
Oard1
Kat2b
Shd
Chaf1a
Uhrf1
Dlgap1
Lbh
Birc6
Ltbp1
Vit
Tmem178
Prkce
Epas1
Rhoq
Rock1
Abhd3
Gm6277
Npc1
Zfp521
Ss18
Aqp4
Nol4
Zfp24
Celf4
Syt4
Stard4
Nrep
4933408B17Rik
Brd8
Cdc25c
Hbegf
Fgf1
Nr3c1
Ppp2r2b
Dpysl3
Mcc
Cdo1
Aldh7a1
March3
Fbn2
Afap1l1
Ablim3
Spire1
Dcc
Ska1
Slc14a1
Slc14a2
Sall3
Galr1
Tshz1
Dok6
Svil
Zeb1
Rbbp8
Cables1
Asxl3
Dtna
Zfp397
Ammecr1l
Camk4
Egr1
Ctnna1
Cxxc5
Psd2
Tmco6
Stk32a
Kcnn2
Tnfaip8
Hsd17b4
Sncaip
Gramd3
Lmnb1
Megf10
Slc12a2
Adamts19
Cd74
Camk2a
Pdgfrb
Onecut2
Grp
Acaa2
Pard6g
Mbp
Zfp516
Zadh2
Lrp5
Ccs
Cnih2
Malat1
Gm14964
Flrt1
Gng3
Asrgl1
Incenp
Fads2
Fen1
Tle4
Psat1
Ostf1
Rorb
Anxa1
Gda
Smc5
Mamdc2
Tjp2
Pgm5
Rfx3
Glis3
4430402I18Rik
Ak3
Gldc
Pank1
Ppp1r3c
Cfap43
Afap1l2
Gfra1
Emx2os
Rab11fip2
Cpt1a
Pcx
Rnaseh2c
Rela
Ppp1r14b
Macrod1
Rcor2
Mta2
Fads1
Fam111a
Gna14
Tmem2
Klf9
Kank1
Dmrt3
Cdc37l1
Ric1
Kif20b
Pcgf5
Kif11
Plce1
Hells
Scd2
Wnt8b
Lzts2
Pdcd11
Add3
Mxi1
Rbm20
Tcf7l2
Casp7
Emx2
E330013P04Rik
Suv39h2
Taf3
C1ql3
Dnajc1
Enkur
Nacc2
Notch1
Fam163b
Crat
Fibcd1
Nr4a2
Baz2b
Rbms1
Kcnh7
Fign
Wipf1
Nfe2l2
Ccdc141
Zfp385b
Neurod1
Pde1a
Frzb
Calcrl
2700094K13Rik
Serping1
Mdk
Tspan18
B230118H07Rik
Prr5l
Cd44
Cat
Tcp11l1
Qser1
Rcn1
Dnajc24
Dph6
Meis2
Rasgrp1
Gm14091
Frmd5
Shf
Gatm
Shc4
Kcnip3
Ckap2l
Rassf2
Pcna
Rrbp1
Snx5
Rbbp9
Cst3
Acss1
Dusp15
Snta1
Necab3
E2f1
Ptprt
Matn4
Slc13a3
Sulf2
Prex1
Bcas1
Aurka
Bmp7
Pmepa1
Nkain4
Stmn3
Fam107b
Bend7
Sephs1
Ccdc3
Kin
Itih5
Prkcq
Pter
Vim
Slc39a12
Plxdc2
Mllt10
Etl4
Gad2
Olfm1
Ttf1
Prrx2
Fubp3
Abl1
Aif1l
Fam102a
Hspa5
Lhx2
Zeb2os
Kif5c
Lypd6
Tnfaip6
Rif1
Fmnl2
Galnt13
Tanc1
Tank
Tbr1
Scn2a1
Gad1
Cybrd1
Hat1
Itga6
Cdca7
2600014E21Rik
Itga4
Ssfa2
Itgav
Pacsin3
Lrp4
Trp53i11
Pamr1
Slc1a2
Abtb2
Cd59a
Pax6
Mpped2
Kif18a
Bdnf
Ccdc34
Spred1
Bub1b
Casc5
Nusap1
Snap23
B2m
Sema6d
Slc24a5
Dut
Bcl2l11
Mertk
Chchd5
Sirpa
Ebf4
Cdc25b
Smox
Plcb4
Snap25
Kiz
Nxt1
Syndig1
Pygb
Scrt2
Id1
Tpx2
Cbfa2t2
Chmp4b
Acss2
Myl9
Tgif2
Nnat
Ppp1r16b
Fam83d
Ift52
Zfos1
Tshz2
Dok5
Fam210b
Tfap2c
Cdh4
Col9a3
Myt1
Pag1
Zfand1
Cyp7b1
Ect2
Maml3
Frem2
Sertm1
Wwtr1
Igsf10
Veph1
Lxn
Trim59
Golim4
Rxfp1
Arfip1
Bcan
Pmf1
Syt11
Fdps
Riiad1
Gabpb2
Mllt11
Plekho1
Phgdh
Ptgfrn
Atp1a1
Vangl1
Gpsm2
Ntng1
S1pr1
Vcam1
Cdc14a
Agl
Palmd
Plppr4
Rwdd3
Ugt8a
Larp7
Hadh
Npnt
Dapp1
Bmpr1b
Pdlim5
Pkn2
Lmo4
Hs2st1
Cyr61
Spata1
Adgrl2
St6galnac5
Acadm
Cth
Zfhx4
Stmn2
Fabp5
E2f5
Car2
Cp
Pld1
Actl6a
Fat4
Pcdh10
Foxo1
Lhfp
Rnf13
Arhgef26
Tiparp
Ptx3
Mlf1
Smc4
Fstl5
4921511C10Rik
Gm3764
Glmp
Thbs3
Pbxip1
Rab13
S100a13
S100a6
S100a10
Gm16740
Cdc42se1
Anp32e
Hist2h2bb
Acp6
Notch2
Igsf3
Slc16a1
Fam212b
Gstm5
Col11a1
Dbt
Cnn3
F3
Bcar3
1810037I17Rik
Camk2d
Lef1
Cenpe
Ppp3ca
Ddit4l
Ccbl2
Ddah1
Bcl10
Gng5
Negr1
Tox
Car8
Plekhf2
Dpy19l4
Cpne3
Klhl32
Ankrd6
Pnrc1
Mob3b
Topors
B4galt1
Cntfr
Shb
Igfbpl1
Grin3a
Abca1
Klf4
Ctnnal1
Lpar1
Tnc
Cdk5rap2
Tle1
Nfib
Zdhhc21
Ttc39b
Elavl2
Cyp2j6
E130114P18Rik
Itgb3bp
Slc35d1
Cpt2
Gpx7
Cdkn2c
Elavl4
Rad54l
Nasp
Cdc20
Mfsd2a
Cdca8
Ncdn
Hpca
Khdrbs1
Serinc2
Nkain1
Epb41
Phactr4
Hmgn2
Clic4
Nbl1
Igsf21
Efhd2
Pdpn
Plod1
Draxin
Ptchd2
Trp73
Prdm16
Chd7
Trp53inp1
Ccne2
Gem
Runx1t1
Gm11837
Calb1
Mmp16
Ttpa
Bach2
Cnr1
Gm26881
Frmpd1
Tmod1
Anp32b
Tgfbr1
Smc2
Slc44a1
Zfp462
Hsdl2
E130308A19Rik
Pappa
Gm11266
Ccdc171
Cntln
Nfia
Inadl
